Adm2_code;Week;Total_cases;Cumulative_cases;WIR_x10000;AR_x10000
cod200001;1;0;0;0;0
cod200001;2;0;0;0;0
cod200001;3;15;15;0.75;0.75
cod200001;4;10;25;0.5;1.25
cod200001;5;2;27;0.1;1.35
cod200001;6;0;27;0;1.35
cod200001;7;0;27;0;1.35
cod200001;8;1;28;0.05;1.4
cod200001;9;0;28;0;1.4
cod200001;10;0;28;0;1.4
cod200001;11;6;34;0.3;1.7
cod200001;12;1;35;0.05;1.75
cod200001;13;8;43;0.4;2.15
cod200001;14;1;44;0.05;2.2
cod200001;15;0;44;0;2.2
cod200001;16;16;60;0.8;3
cod200001;17;8;68;0.4;3.4
cod200001;18;11;79;0.55;3.95
cod200001;19;38;117;1.9;5.85
cod200001;20;15;132;0.75;6.6
cod200001;21;3;135;0.15;6.75
cod200001;22;0;135;0;6.75
cod200001;23;0;135;0;6.75
cod200001;24;0;135;0;6.75
cod200001;25;0;135;0;6.75
cod200001;26;0;135;0;6.75
cod200001;27;10;145;0.5;7.25
cod200001;28;0;145;0;7.25
cod200001;29;0;145;0;7.25
cod200001;30;0;145;0;7.25
cod200001;31;0;145;0;7.25
cod200001;32;1;146;0.05;7.3
cod200001;33;0;146;0;7.3
cod200001;34;0;146;0;7.3
cod200001;35;15;161;0.75;8.05
cod200001;36;19;180;0.95;9
cod200001;37;0;180;0;9
cod200001;38;0;180;0;9
cod200001;39;0;180;0;9
cod200001;40;0;180;0;9
cod200001;41;2;182;0.1;9.1
cod200001;42;2;184;0.1;9.2
cod200001;43;54;238;2.7;11.9
cod200001;44;63;301;3.15;15.05
cod200001;45;0;301;0;15.05
cod200001;46;0;301;0;15.05
cod200001;47;28;329;1.4;16.45
cod200001;48;15;344;0.75;17.2
cod200001;49;1;345;0.05;17.25
cod200001;50;55;400;2.75;20
cod200001;51;10;410;0.5;20.5
cod200001;52;0;410;0;20.5
cod200001;53;8;418;0.4;20.9
cod200007;1;0;0;0;0
cod200007;2;15;15;1.138243463;1.138243463
cod200007;3;32;47;2.42825272;3.566496183
cod200007;4;36;83;2.73178431;6.298280494
cod200007;5;20;103;1.51765795;7.815938444
cod200007;6;4;107;0.30353159;8.119470034
cod200007;7;0;107;0;8.119470034
cod200007;8;17;124;1.290009258;9.409479292
cod200007;9;18;142;1.365892155;10.77537145
cod200007;10;22;164;1.669423745;12.44479519
cod200007;11;24;188;1.82118954;14.26598473
cod200007;12;23;211;1.745306643;16.01129138
cod200007;13;22;233;1.669423745;17.68071512
cod200007;14;10;243;0.758828975;18.4395441
cod200007;15;0;243;0;18.4395441
cod200007;16;32;275;2.42825272;20.86779682
cod200007;17;31;306;2.352369823;23.22016664
cod200007;18;19;325;1.441775053;24.66194169
cod200007;19;13;338;0.986477668;25.64841936
cod200007;20;9;347;0.682946078;26.33136544
cod200007;21;16;363;1.21412636;27.5454918
cod200007;22;9;372;0.682946078;28.22843787
cod200007;23;6;378;0.455297385;28.68373526
cod200007;24;0;378;0;28.68373526
cod200007;25;9;387;0.682946078;29.36668134
cod200007;26;13;400;0.986477668;30.35315901
cod200007;27;18;418;1.365892155;31.71905116
cod200007;28;0;418;0;31.71905116
cod200007;29;7;425;0.531180283;32.25023144
cod200007;30;3;428;0.227648693;32.47788014
cod200007;31;8;436;0.60706318;33.08494332
cod200007;32;17;453;1.290009258;34.37495257
cod200007;33;2;455;0.151765795;34.52671837
cod200007;34;8;463;0.60706318;35.13378155
cod200007;35;13;476;0.986477668;36.12025922
cod200007;36;24;500;1.82118954;37.94144876
cod200007;37;0;500;0;37.94144876
cod200007;38;13;513;0.986477668;38.92792642
cod200007;39;20;533;1.51765795;40.44558437
cod200007;40;0;533;0;40.44558437
cod200007;41;23;556;1.745306643;42.19089102
cod200007;42;9;565;0.682946078;42.87383709
cod200007;43;7;572;0.531180283;43.40501738
cod200007;44;7;579;0.531180283;43.93619766
cod200007;45;2;581;0.151765795;44.08796345
cod200007;46;0;581;0;44.08796345
