District,Week,Cases_inf5y,Cases_sup5y,Total_cases,Cumulative_cases,WIR_x10000,AR_x10000,Adm2_code
Abs,1,0,0,0,0,0,0,YE1704
Abs,2,0,0,0,0,0,0,YE1704
Abs,3,0,0,0,0,0,0,YE1704
Abs,4,0,0,0,0,0,0,YE1704
Abs,5,0,0,0,0,0,0,YE1704
Abs,6,0,0,0,0,0,0,YE1704
Abs,7,0,0,0,0,0,0,YE1704
Abs,8,0,0,0,0,0,0,YE1704
Abs,9,0,0,0,0,0,0,YE1704
Abs,10,0,0,0,0,0,0,YE1704
Abs,11,0,0,0,0,0,0,YE1704
Abs,12,0,0,0,0,0,0,YE1704
Abs,13,0,0,0,0,0,0,YE1704
Abs,14,0,1,1,1,0.057,0.057,YE1704
Abs,15,4,10,14,15,0.793,0.85,YE1704
Abs,16,0,0,0,15,0,0.85,YE1704
Abs,17,0,2,2,17,0.113,0.963,YE1704
Abs,18,6,18,24,41,1.36,2.323,YE1704
Abs,19,19,57,76,117,4.306,6.629,YE1704
Abs,20,91,234,325,442,18.413,25.042,YE1704
Abs,21,139,362,501,943,28.385,53.427,YE1704
Abs,22,133,416,549,1492,31.104,84.531,YE1704
Abs,23,136,421,557,2049,31.558,116.089,YE1704
Abs,24,64,292,356,2405,20.17,136.258,YE1704
Abs,25,51,296,347,2752,19.66,155.918,YE1704
Abs,26,67,313,380,3132,21.529,177.447,YE1704
Aflah Al Yaman,1,0,0,0,0,0,0,YE1714
Aflah Al Yaman,2,0,0,0,0,0,0,YE1714
Aflah Al Yaman,3,0,0,0,0,0,0,YE1714
Aflah Al Yaman,4,0,0,0,0,0,0,YE1714
Aflah Al Yaman,5,0,0,0,0,0,0,YE1714
Aflah Al Yaman,6,0,0,0,0,0,0,YE1714
Aflah Al Yaman,7,0,0,0,0,0,0,YE1714
Aflah Al Yaman,8,0,0,0,0,0,0,YE1714
Aflah Al Yaman,9,0,0,0,0,0,0,YE1714
Aflah Al Yaman,10,0,0,0,0,0,0,YE1714
Aflah Al Yaman,11,0,0,0,0,0,0,YE1714
Aflah Al Yaman,12,0,0,0,0,0,0,YE1714
Aflah Al Yaman,13,0,19,19,19,3.807,3.807,YE1714
Aflah Al Yaman,14,0,2,2,21,0.401,4.208,YE1714
Aflah Al Yaman,15,1,2,3,24,0.601,4.809,YE1714
Aflah Al Yaman,16,1,2,3,27,0.601,5.41,YE1714
Aflah Al Yaman,17,3,13,16,43,3.206,8.616,YE1714
Aflah Al Yaman,18,0,8,8,51,1.603,10.219,YE1714
Aflah Al Yaman,19,3,14,17,68,3.406,13.626,YE1714
Aflah Al Yaman,20,25,75,100,168,20.038,33.664,YE1714
Aflah Al Yaman,21,8,38,46,214,9.218,42.881,YE1714
Aflah Al Yaman,22,11,62,73,287,14.628,57.509,YE1714
Aflah Al Yaman,23,10,55,65,352,13.025,70.534,YE1714
Aflah Al Yaman,24,16,65,81,433,16.231,86.765,YE1714
Aflah Al Yaman,25,20,61,81,514,16.231,102.996,YE1714
Aflah Al Yaman,26,10,48,58,572,11.622,114.618,YE1714
Aflah Ash Shawm,1,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,2,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,3,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,4,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,5,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,6,0,0,0,0,0,0,YE1710
Aflah Ash Shawm,7,0,0,0,0,0,0,YE1710
